analyzer_id,source_port,source_protocol,target_port,target_protocol,Cluster
2,62206,4,445,4,0
5,60864,4,3389,4,0
2,54062,4,445,4,0
5,57309,4,3389,4,0
5,63103,4,3389,4,0
2,47885,4,445,4,0
2,61450,4,445,4,0
1,51782,4,2222,4,0
2,51136,4,445,4,0
2,64188,4,445,4,0
2,55710,4,445,4,0
1,35174,4,2222,4,1
2,42234,4,80,4,1
5,46986,4,3389,4,0
2,58009,4,445,4,0
5,18586,4,3389,4,1
5,31614,4,3389,4,1
2,52274,4,445,4,0
2,56362,4,445,4,0
2,50986,4,445,4,0
1,50600,4,2222,4,0
5,60881,4,3389,4,0
2,50149,4,445,4,0
2,57307,4,445,4,0
2,50876,4,445,4,0
5,50741,4,3389,4,0
2,60272,4,80,4,0
2,54720,4,445,4,0
2,56384,4,80,4,0
2,55282,4,445,4,0
2,53110,4,445,4,0
2,53296,4,445,4,0
5,59079,4,3389,4,0
2,52875,4,445,4,0
5,57690,4,3389,4,0
5,65390,4,3389,4,0
2,58252,4,445,4,0
2,58692,4,445,4,0
2,60036,4,3306,4,0
2,61017,4,445,4,0
5,17252,4,3389,4,1
2,62555,4,445,4,0
2,53431,4,445,4,0
5,54638,4,3389,4,0
2,58051,4,445,4,0
1,43900,4,2222,4,0
2,63165,4,445,4,0
5,2344,4,3389,4,1
1,35808,4,2222,4,1
2,61429,4,80,4,0
5,57537,4,3389,4,0
2,37070,4,80,4,1
2,64562,4,445,4,0
2,62688,4,445,4,0
2,61599,4,445,4,0
5,53014,4,3389,4,0
2,54726,4,80,4,0
2,63302,4,80,4,0
5,56015,4,3389,4,0
2,52552,4,1433,4,0
2,45794,4,80,4,0
2,54655,4,80,4,0
2,51931,4,445,4,0
2,57325,4,3306,4,0
1,52762,4,2222,4,0
2,62622,4,445,4,0
5,23146,4,3389,4,1
2,48273,4,445,4,0
2,2857,4,445,4,1
2,65310,4,445,4,0
5,51410,4,3389,4,0
2,58654,4,445,4,0
2,53950,4,80,4,0
2,55572,4,80,4,0
2,59623,4,445,4,0
5,60944,4,3389,4,0
1,45364,4,2222,4,0
2,50721,4,80,4,0
2,60777,4,445,4,0
2,57555,4,445,4,0
2,59332,4,445,4,0
2,51587,4,445,4,0
2,61512,4,445,4,0
2,60354,4,445,4,0
5,59470,4,3389,4,0
2,39596,4,80,4,1
2,55039,4,445,4,0
2,52586,4,80,4,0
2,61689,4,445,4,0
2,63683,4,445,4,0
1,37108,4,2222,4,1
2,59625,4,445,4,0
2,63266,4,80,4,0
2,23871,4,445,4,1
2,37702,4,80,4,1
2,53751,4,80,4,0
5,57760,4,3389,4,0
5,56744,4,3389,4,0
2,59600,4,80,4,0
2,49569,4,445,4,0
2,58784,4,445,4,0
5,58915,4,3389,4,0
2,55695,4,445,4,0
2,59038,4,445,4,0
2,52172,4,445,4,0
2,61699,4,445,4,0
5,49818,4,3389,4,0
2,52103,4,445,4,0
2,57128,4,445,4,0
2,62645,4,445,4,0
5,23705,4,3389,4,1
2,56729,4,445,4,0
1,37658,4,2222,4,1
2,64691,4,445,4,0
5,64667,4,3389,4,0
2,51300,4,80,4,0
2,49872,4,445,4,0
2,52428,4,80,4,0
2,43773,4,445,4,0
2,64535,4,445,4,0
1,51328,4,2222,4,0
5,52300,4,3389,4,0
2,62975,4,445,4,0
2,55719,4,445,4,0
2,65313,4,445,4,0
2,57446,4,445,4,0
2,21288,4,80,4,1
2,53330,4,445,4,0
2,64268,4,445,4,0
5,11476,4,3389,4,1
2,59583,4,445,4,0
2,57166,4,80,4,0
1,55303,4,2222,4,0
2,64872,4,80,4,0
2,60887,4,80,4,0
2,60914,4,445,4,0
2,63594,4,445,4,0
5,57455,4,3389,4,0
5,62559,4,3389,4,0
5,52233,4,3389,4,0
5,49783,4,3389,4,0
5,65047,4,3389,4,0
1,55622,4,2222,4,0
2,59154,4,445,4,0
5,63438,4,3389,4,0
2,49389,4,445,4,0
2,49267,4,1433,4,0
2,60431,4,445,4,0
2,11397,4,445,4,1
2,59336,4,445,4,0
2,65400,4,80,4,0
1,42476,4,2222,4,1
1,55540,4,2222,4,0
2,25277,4,445,4,1
2,57656,4,445,4,0
5,61741,4,3389,4,0
5,63653,4,3389,4,0
2,45780,4,80,4,0
2,50520,4,445,4,0
5,55276,4,3389,4,0
5,8989,4,3389,4,1
2,53782,4,445,4,0
5,64141,4,3389,4,0
2,56470,4,445,4,0
2,62551,4,445,4,0
2,51529,4,445,4,0
2,62098,4,445,4,0
2,65299,4,445,4,0
1,35212,4,2222,4,1
5,59740,4,3389,4,0
2,62020,4,445,4,0
2,50472,4,445,4,0
2,54089,4,445,4,0
2,49349,4,445,4,0
5,56370,4,3389,4,0
2,49735,4,445,4,0
5,51610,4,3389,4,0
2,53582,4,445,4,0
5,65269,4,3389,4,0
2,56964,4,445,4,0
2,48066,4,80,4,0
2,65429,4,445,4,0
2,55860,4,445,4,0
2,57337,4,445,4,0
5,64096,4,3389,4,0
2,64692,4,80,4,0
2,37748,4,80,4,1
2,64571,4,445,4,0
2,50991,4,445,4,0
2,61933,4,445,4,0
5,63530,4,3389,4,0
2,51302,4,445,4,0
5,42489,4,3389,4,1
2,61316,4,445,4,0
2,53421,4,445,4,0
2,52392,4,445,4,0
2,61576,4,445,4,0
2,53933,4,445,4,0
2,57777,4,445,4,0
2,35180,4,80,4,1
2,49723,4,445,4,0
5,59684,4,3389,4,0
2,50778,4,445,4,0
2,57998,4,445,4,0
2,55964,4,80,4,0
2,63191,4,445,4,0
2,32905,4,445,4,1
5,61019,4,3389,4,0
2,54996,4,445,4,0
2,63030,4,80,4,0
2,64196,4,445,4,0
2,52187,4,445,4,0
2,50078,4,445,4,0
2,36560,4,1433,4,1
5,62805,4,3389,4,0
2,49662,4,445,4,0
2,56048,4,445,4,0
2,57781,4,445,4,0
2,56947,4,445,4,0
5,53899,4,3389,4,0
2,46352,4,80,4,0
5,7225,4,3389,4,1
2,62685,4,445,4,0
5,61888,4,3389,4,0
2,64975,4,445,4,0
2,13424,4,1433,4,1
2,49967,4,445,4,0
2,55489,4,445,4,0
2,62546,4,445,4,0
2,62506,4,445,4,0
5,55297,4,3389,4,0
1,53970,4,2222,4,0
2,57292,4,80,4,0
2,55051,4,445,4,0
2,61362,4,445,4,0
2,56452,4,445,4,0
2,24885,4,445,4,1
2,33154,4,80,4,1
5,49895,4,3389,4,0
2,13526,4,80,4,1
2,53981,4,445,4,0
2,55226,4,445,4,0
2,60390,4,80,4,0
1,53944,4,2222,4,0
2,42448,4,80,4,1
5,54197,4,3389,4,0
5,60382,4,3389,4,0
5,58089,4,3389,4,0
2,54916,4,445,4,0
2,53483,4,80,4,0
2,61753,4,445,4,0
2,50711,4,445,4,0
2,60107,4,1433,4,0
2,55403,4,445,4,0
2,48310,4,80,4,0
2,52202,4,80,4,0
2,54824,4,80,4,0
2,57534,4,445,4,0
1,50924,4,2222,4,0
2,46290,4,80,4,0
2,51083,4,445,4,0
2,31710,4,80,4,1
1,35064,4,2222,4,1
2,49870,4,445,4,0
1,39108,4,2222,4,1
2,54971,4,445,4,0
1,47273,4,2222,4,0
2,52931,4,445,4,0
2,62443,4,445,4,0
2,54236,4,80,4,0
2,59792,4,445,4,0
2,65332,4,445,4,0
2,52193,4,445,4,0
2,65476,4,445,4,0
2,52530,4,445,4,0
2,54209,4,80,4,0
5,55239,4,3389,4,0
2,51765,4,80,4,0
5,53474,4,3389,4,0
2,39748,4,80,4,1
2,46692,4,80,4,0
2,58340,4,445,4,0
5,43434,4,3389,4,0
2,55116,4,80,4,0
1,33718,4,2222,4,1
2,55649,4,445,4,0
2,61917,4,445,4,0
5,52294,4,3389,4,0
2,61415,4,445,4,0
2,54588,4,80,4,0
2,51891,4,445,4,0
5,53612,4,3389,4,0
2,57633,4,445,4,0
2,51025,4,445,4,0
2,49602,4,445,4,0
2,49985,4,445,4,0
2,61550,4,445,4,0
2,61992,4,445,4,0
5,60896,4,3389,4,0
2,32952,4,80,4,1
2,49652,4,445,4,0
2,63119,4,445,4,0
5,65381,4,3389,4,0
1,60062,4,2222,4,0
2,56619,4,445,4,0
2,54914,4,445,4,0
5,57256,4,3389,4,0
2,43484,4,80,4,0
2,49510,4,80,4,0
1,35140,4,2222,4,1
1,40634,4,2222,4,1
2,60405,4,445,4,0
2,57058,4,80,4,0
5,54363,4,3389,4,0
2,49359,4,445,4,0
2,54608,4,445,4,0
2,54606,4,445,4,0
2,61946,4,445,4,0
1,35502,4,2222,4,1
2,61095,4,445,4,0
2,53090,4,445,4,0
2,58421,4,445,4,0
2,64154,4,445,4,0
2,53888,4,80,4,0
2,63012,4,80,4,0
2,56918,4,445,4,0
5,51479,4,3389,4,0
2,55952,4,445,4,0
5,61891,4,3389,4,0
2,11487,4,445,4,1
2,43746,4,80,4,0
2,60698,4,445,4,0
2,54488,4,445,4,0
2,54606,4,445,4,0
2,64852,4,445,4,0
5,60030,4,3389,4,0
2,52039,4,445,4,0
2,51310,4,445,4,0
2,55451,4,445,4,0
2,56706,4,445,4,0
5,61534,4,3389,4,0
2,51855,4,445,4,0
2,58875,4,445,4,0
2,33886,4,80,4,1
2,63122,4,445,4,0
2,60628,4,445,4,0
2,53909,4,445,4,0
2,61318,4,445,4,0
2,52508,4,445,4,0
1,59261,4,2222,4,0
2,54774,4,445,4,0
2,60168,4,80,4,0
5,54769,4,3389,4,0
2,64070,4,445,4,0
2,51251,4,445,4,0
2,64098,4,445,4,0
5,62388,4,3389,4,0
2,1535,4,1433,4,1
2,52033,4,445,4,0
2,35139,4,445,4,1
2,34778,4,80,4,1
2,54644,4,445,4,0
2,57534,4,445,4,0
1,1024,4,2222,4,1
5,49254,4,3389,4,0
2,53727,4,445,4,0
2,60262,4,445,4,0
2,60564,4,80,4,0
5,61816,4,3389,4,0
2,59020,4,445,4,0
2,49766,4,445,4,0
2,64539,4,80,4,0
1,49844,4,2222,4,0
2,62150,4,80,4,0
2,60042,4,445,4,0
5,53523,4,3389,4,0
2,53932,4,445,4,0
2,37280,4,80,4,1
5,33128,4,3389,4,1
2,59962,4,80,4,0
2,45914,4,80,4,0
2,49464,4,445,4,0
2,49288,4,445,4,0
2,49358,4,80,4,0
2,50871,4,445,4,0
2,53526,4,445,4,0
2,50490,4,445,4,0
2,63516,4,445,4,0
5,52490,4,3389,4,0
2,36022,4,80,4,1
5,58586,4,3389,4,0
1,40038,4,2222,4,1
2,55494,4,445,4,0
1,54332,4,2222,4,0
2,52688,4,445,4,0
2,64893,4,445,4,0
2,55005,4,445,4,0
5,61868,4,3389,4,0
2,59652,4,445,4,0
5,53182,4,3389,4,0
5,59900,4,3389,4,0
2,57763,4,3306,4,0
2,58827,4,445,4,0
5,31496,4,3389,4,1
2,50058,4,80,4,0
2,62464,4,80,4,0
5,57121,4,3389,4,0
2,60822,4,445,4,0
5,52365,4,3389,4,0
2,61090,4,445,4,0
5,31491,4,3389,4,1
5,56948,4,3389,4,0
5,54040,4,3389,4,0
5,59934,4,3389,4,0
2,57465,4,445,4,0
5,54013,4,3389,4,0
2,45124,4,80,4,0
1,38834,4,2222,4,1
2,55679,4,445,4,0
2,49659,4,445,4,0
2,61788,4,445,4,0
5,56610,4,3389,4,0
2,40477,4,445,4,1
2,52918,4,445,4,0
2,49186,4,445,4,0
2,37322,4,80,4,1
2,59650,4,445,4,0
2,51648,4,445,4,0
2,60074,4,445,4,0
2,31259,4,445,4,1
2,54070,4,80,4,0
1,60408,4,2222,4,0
2,36796,4,80,4,1
2,53345,4,445,4,0
2,58624,4,445,4,0
5,37036,4,3389,4,1
5,51832,4,3389,4,0
2,54037,4,445,4,0
2,52588,4,80,4,0
5,50392,4,3389,4,0
2,53608,4,80,4,0
1,34478,4,2222,4,1
5,4732,4,3389,4,1
2,55625,4,445,4,0
5,58799,4,3389,4,0
2,59349,4,445,4,0
2,33539,4,445,4,1
2,56862,4,445,4,0
2,50991,4,445,4,0
2,64989,4,445,4,0
1,51118,4,2222,4,0
2,59727,4,445,4,0
2,51021,4,445,4,0
2,63882,4,445,4,0
2,18939,4,445,4,1
2,56112,4,80,4,0
2,54089,4,445,4,0
2,59958,4,445,4,0
2,62556,4,445,4,0
5,53902,4,3389,4,0
1,49044,4,2222,4,0
5,23776,4,3389,4,1
2,53863,4,445,4,0
2,39874,4,80,4,1
5,53543,4,3389,4,0
5,63988,4,3389,4,0
2,59004,4,80,4,0
2,50674,4,445,4,0
2,63120,4,445,4,0
2,56379,4,445,4,0
2,56312,4,445,4,0
2,64445,4,445,4,0
2,60886,4,445,4,0
5,42908,4,3389,4,1
2,60070,4,445,4,0
2,37542,4,80,4,1
2,31296,4,5060,4,1
2,56753,4,445,4,0
5,37568,4,3389,4,1
2,60492,4,445,4,0
2,41036,4,80,4,1
1,49892,4,2222,4,0
2,62644,4,445,4,0
2,39444,4,80,4,1
1,37136,4,2222,4,1
2,50746,4,445,4,0
5,58268,4,3389,4,0
2,55100,4,445,4,0
2,62348,4,445,4,0
1,52130,4,2222,4,0
2,54173,4,80,4,0
1,38186,4,2222,4,1
1,36008,4,2222,4,1
2,62747,4,445,4,0
2,35232,4,80,4,1
5,61061,4,3389,4,0
2,39495,4,445,4,1
2,55741,4,445,4,0
2,59568,4,445,4,0
2,62465,4,445,4,0
5,61793,4,3389,4,0
5,56954,4,3389,4,0
