country;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Indonesia;58133;110512;82314;106619;114978;130752;139063;133017;108616;111714;104576;51125;52864;56749;54807;60922;49808;24302;27559;33858;36275;24860;26099;24295
Chile;435;435;423;449;426;462;504;428;460;445;455;587;505;466;442;483;639;466;477;472;399;321;334;306
Japan;1929;1944;2594;2102;1845;1948;1807;1249;1127;1197;1019;949;1299;1437;1752;1524;1662;1445;1397;1493;1611;1443;1619;1463
Ukraine;1820;1158;600;893;543;602;1118;1854;1920;1910;2435;2819;2837;2436;2160;2789;2041;1701;1700;1917;1555;1849;1008;869
United States;11545;9766;10058;15715;13814;12868;11536;13653;13457;9536;13141;14911;17434;18385;19688;18895;16544;15642;13992;11495;11299;12066;11067;10464
The Netherlands;16468;5654;6979;10032;15994;20755;15226;20181;23118;16370;13230;16041;14336;22099;18765;7793;6369;4340;7342;7916;6099;8985;9146;8613
France;1445;1081;989;1055;1126;1061;1104;1121;1170;1341;1354;1498;1537;1579;1480;1459;1572;1577;1722;1690;1689;1569;1551;1440
Germany;10524;10066;9729;10643;9491;9065;9114;9010;8607;8593;8852;8699;8571;8653;9156;9114;8767;8254;10080;10059;10433;10230;10407;10282
India;1935;1859;1919;1978;1217;1407;1666;2350;865;2078;1902;1208;1283;1133;1190;1040;1440;6002;2577;2101;2218;2393;2029;1803
Romania;41;30;41;9;8;10;12;5;12;62;16;35;37;143;112;121;67;43;53;83;41;147;14;50
Canada;1127;934;855;885;988;1048;900;782;882;946;832;855;934;908;865;841;862;2471;930;838;783;767;830;944
Hong Kong;217;235;290;351;283;376;351;376;298;289;384;464;325;371;401;237;179;224;243;338;246;209;225;273
Australia;85;50;72;116;17;35;34;18;24;14;31;21;22;72;43;346;382;442;408;274;82;11;11;15
Russia;1119;752;1101;1959;1568;1314;994;1149;1164;1129;1224;1226;1447;1444;1505;1487;1720;1267;2031;1812;1462;977;753;959
China;2810;2712;2177;2357;5730;2517;5940;4553;3718;2444;3211;2548;3836;2581;2441;2429;2073;2050;2077;1949;2044;1987;1897;1905
Bangladesh;426;418;435;252;28;15;41;16;35;7;63;13;15;14;12;7;8;1;6;1;2;33;10;1
Brazil;403;306;302;184;230;171;146;191;173;227;319;264;231;298;491;466;434;341;471;330;201;216;220;299
Ireland;347;395;451;275;166;162;191;135;152;106;120;91;103;82;50;35;55;31;36;61;58;47;57;48
Croatia;18;0;88;1;0;9;10;66;83;68;77;45;34;38;45;53;74;64;57;94;100;81;64;26
Sweden;11;12;6;5;3;6;6;6;7;5;11;13;59;10;13;10;6;7;7;5;9;12;8;5
United Arab Emirates;50;6;3;11;6;5;4;2;1;0;4;5;5;2;3;7;7;1;5;0;0;0;1;3
Singapore;740;516;502;441;489;698;510;574;547;426;393;405;2096;801;720;747;846;1118;291;459;326;489;980;394
Vietnam;1479;1382;1451;1158;1123;1222;1131;1178;1095;1337;1521;1635;2050;1661;1569;1858;2202;2300;1740;1733;1740;1791;1737;1484
Niger;50;0;0;0;0;0;0;0;0;0;1;46;1;0;0;0;0;0;0;0;0;0;0;0
Iran;877;57;873;41;23;431;735;1028;82;855;836;939;1640;26;535;350;886;43;1696;610;1052;162;22;832
South Korea;225;136;115;242;103;165;219;241;180;119;191;350;145;168;159;187;155;178;165;336;291;199;310;247
Tunisia;38;10;5;9;4;14;14;6;2;117;6;58;18;16;16;19;24;64;77;27;84;83;23;5
Tanzania;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0
Mongolia;19;16;22;17;19;19;37;29;15;23;19;25;19;17;24;16;17;19;17;17;46;69;38;18
United Kingdom;5106;4468;5141;4691;4336;4530;4240;4404;4496;4422;4724;4573;4450;4592;4614;4634;4442;4087;5898;6648;6180;5580;5639;5647
Tajikistan;105;111;112;110;102;100;99;97;99;99;98;99;97;96;98;96;96;55;110;105;93;92;91;94
Estonia;11;11;18;18;9;4;14;25;60;47;3;3;2;19;47;73;6;2;30;10;41;17;39;34
Malaysia;3644;3067;2725;2755;2710;2619;2540;2687;2927;2827;3093;3380;3214;3095;3118;3311;3371;3388;3581;3621;3733;3868;3847;3817
Thailand;57;64;60;35;62;47;95;128;193;46;433;407;383;249;231;203;236;237;277;253;209;145;42;35
Türkiye;119;65;49;94;94;8;126;83;63;125;65;2077;187;129;1130;143;61;97;187;932;683;128;100;144
Egypt;7;2;4;3;2;4;16;15;734;159;943;888;224;19;15;7;26;40;50;28;22;110;9;58
Moldova;114;112;47;77;87;66;89;67;53;112;94;111;103;86;137;87;99;73;67;64;39;107;43;46
Poland;174;554;118;66;38;123;184;264;631;226;187;229;681;172;152;144;109;120;88;118;111;111;109;65
Philippines;20;15;449;9;13;22;10;635;60;6;4;31;7;22;7;2;47;5;41;49;4;7;6;5
Peru;23;5;3;2;2;6;5;12;1;4;7;13;39;22;10;10;9;32;16;23;17;15;7;6
Italy;20;71;359;282;383;73;68;21;18;25;29;123;277;425;599;48;208;908;913;714;696;671;286;204
Taiwan;1220;1208;1202;1319;1176;1285;1244;1268;1241;1253;1248;1709;1252;1281;1252;1189;1201;1227;1246;1188;1217;1211;1245;1271
Panama;6;1;6;1;1;7;14;13;7;0;5;8;4;0;3;12;3;5;3;0;6;4;6;6
Cayman Islands;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Nigeria;17;21;13;18;11;19;4;4;19;12;14;10;9;22;11;6;26;19;10;4;6;9;16;21
Mexico;1669;1633;1591;1637;1640;1634;1602;1584;1595;4073;2901;2836;2590;2534;2357;2498;2470;1136;1226;2674;1651;1642;1654;1605
Spain;23;136;3;15;13;10;9;6;9;29;9;79;19;43;54;89;85;44;91;40;42;24;91;9
Uzbekistan;6;2;1;8;3;9;5;33;14;15;7;22;89;2;5;4;3;27;19;1;35;4;4;2
Kazakhstan;4;5065;544;14;12;34;32;42;15;26;60;17;10;23;29;70;15;34;253;281;103;14;6;6
Argentina;21;24;13;13;42;31;90;12;5;0;13;0;10;7;12;71;10;17;85;18;38;24;58;11
Portugal;2;4;1;7;4;2;11;9;4;7;68;15;2;2;9;16;13;7;9;5;5;1;11;19
Uruguay;0;0;3;0;1;0;0;2;5;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0
Cambodia;24;15;2;19;5;1;9;0;9;33;73;85;85;93;95;111;102;63;62;41;26;26;28;25
Pakistan;15;25;21;11;61;53;32;37;68;39;55;48;43;53;98;143;70;72;54;18;32;26;25;15
Myanmar;0;0;0;0;2;37;21;0;6;12;7;10;1;1;1;0;0;0;0;0;0;0;0;0
