source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
118.99.115.242;3819;3760;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129.151.109.225;226;223;197;218;205;217;235;214;214;216;250;244;256;234;229;238;237;213;231;224;190;148;186;160
202.254.236.30;2;3;3;0;2;1;3;0;2;2;3;0;3;3;1;0;3;2;2;0;2;3;2;0
45.149.26.191;3;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
183.181.97.66;2;3;3;0;2;1;3;0;2;2;3;0;3;3;1;0;3;2;2;0;2;3;2;0
129.151.97.154;209;206;226;226;215;226;232;211;244;224;205;247;239;232;210;234;265;228;245;248;178;154;147;140
188.130.178.106;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104.167.221.210;285;268;270;285;272;256;267;273;271;272;272;281;286;301;302;290;304;254;252;253;252;252;252;253
209.141.59.81;196;185;185;185;183;189;188;185;181;182;184;186;194;204;206;203;204;169;170;172;173;167;176;172
204.10.194.156;87;72;72;72;72;72;72;72;72;72;72;72;72;71;72;71;72;72;72;72;72;72;72;72
172.96.160.15;335;320;320;324;318;316;320;317;316;317;311;321;328;357;354;349;354;300;299;300;300;300;300;300
213.231.5.15;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79.142.200.97;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78.26.206.67;11;15;20;0;0;0;0;13;24;0;0;0;3;75;39;3;0;71;14;8;42;131;36;26
51.15.26.126;202;193;192;194;192;191;194;192;193;192;192;198;204;216;220;210;214;179;181;180;180;180;180;181
217.76.61.139;7;6;11;0;12;6;6;6;3;12;6;0;0;0;0;0;0;0;0;0;0;0;0;6
91.234.25.246;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47.252.8.27;32;29;34;35;33;29;32;29;32;31;30;32;37;35;40;36;35;30;34;28;29;30;30;30
70.170.120.112;63;78;91;60;47;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0
62.16.4.128;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62.16.7.28;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185.132.1.29;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217.160.145.151;1812;1696;1736;1730;1695;1686;1693;1688;1687;1690;1677;1722;1786;1869;1868;1836;1893;1590;1595;1575;1595;1599;1597;1630
122.170.1.227;49;40;23;52;83;46;41;0;7;0;0;0;10;0;22;0;9;47;25;0;3;12;11;2
213.231.55.233;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84.232.193.224;27;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62.16.4.164;21;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
195.138.73.150;44;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
103.54.56.37;824;755;759;831;825;805;797;791;770;755;748;723;697;715;729;716;760;785;776;762;722;748;763;754
70.104.138.214;20;14;15;171;14;15;16;16;14;15;69;15;15;18;17;22;22;25;25;26;24;22;11;12
91.234.25.234;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.200.120.59;306;263;260;258;254;257;249;247;249;253;248;245;257;255;245;249;257;250;247;252;248;250;253;254
176.119.83.237;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0
18.162.153.35;51;48;48;49;48;48;48;48;48;48;48;49;51;54;54;53;54;45;45;45;45;45;45;44
188.130.178.36;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93.78.173.44;8;10;8;9;12;9;11;9;11;10;9;10;10;10;9;11;10;11;7;9;10;6;10;8
5.53.118.196;4;0;0;1;0;3;1;2;1;2;2;3;0;1;4;4;4;1;2;3;1;1;1;3
20.211.100.148;19;15;14;19;12;15;12;12;11;8;21;12;18;12;19;21;19;21;23;11;10;10;10;11
20.194.238.87;34;32;33;33;32;32;32;32;33;33;32;33;34;36;36;35;36;30;30;30;30;30;30;30
62.16.15.227;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83.142.111.227;1;0;23;15;0;46;33;40;0;0;0;0;0;0;0;0;0;0;0;0;0;34;31;0
109.94.71.143;64;65;60;65;60;60;65;59;62;62;63;61;66;65;70;71;69;57;60;61;58;60;56;58
39.77.49.36;40;38;37;41;38;40;41;39;36;40;37;33;41;39;39;39;39;37;39;40;37;40;37;37
23.235.171.205;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
45.143.144.49;219;220;224;227;234;198;152;103;113;118;114;116;107;109;108;111;109;112;113;111;113;109;111;115
182.16.157.119;425;418;423;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191.193.201.58;52;49;49;51;49;48;50;49;49;50;52;50;43;26;27;27;27;27;26;27;24;27;24;26
185.54.229.42;264;267;265;262;263;265;269;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78.26.151.65;24;28;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0
